2026-03-25T23:51:23Z cycle_id=1 rows={'prices': 30, 'trades': 0, 'orderbook': 0, 'total': 30} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:25Z cycle_id=2 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:27Z cycle_id=3 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:29Z cycle_id=4 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:31Z cycle_id=5 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:33Z cycle_id=6 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:35Z cycle_id=7 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:37Z cycle_id=8 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:39Z cycle_id=9 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:41Z cycle_id=10 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:43Z cycle_id=11 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:45Z cycle_id=12 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:47Z cycle_id=13 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:49Z cycle_id=14 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:51Z cycle_id=15 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:53Z cycle_id=16 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:55Z cycle_id=17 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:57Z cycle_id=18 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:51:59Z cycle_id=19 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:01Z cycle_id=20 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:03Z cycle_id=21 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:05Z cycle_id=22 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:07Z cycle_id=23 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:09Z cycle_id=24 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:11Z cycle_id=25 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:13Z cycle_id=26 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:15Z cycle_id=27 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:17Z cycle_id=28 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:19Z cycle_id=29 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:21Z cycle_id=30 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:23Z cycle_id=31 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:25Z cycle_id=32 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:27Z cycle_id=33 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:29Z cycle_id=34 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:31Z cycle_id=35 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:33Z cycle_id=36 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:35Z cycle_id=37 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:37Z cycle_id=38 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:39Z cycle_id=39 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:41Z cycle_id=40 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:43Z cycle_id=41 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:45Z cycle_id=42 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:47Z cycle_id=43 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:49Z cycle_id=44 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:51Z cycle_id=45 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:53Z cycle_id=46 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:55Z cycle_id=47 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:57Z cycle_id=48 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:52:59Z cycle_id=49 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:01Z cycle_id=50 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:03Z cycle_id=51 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:05Z cycle_id=52 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:07Z cycle_id=53 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:09Z cycle_id=54 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:11Z cycle_id=55 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:13Z cycle_id=56 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:15Z cycle_id=57 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:17Z cycle_id=58 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:19Z cycle_id=59 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:21Z cycle_id=60 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
2026-03-25T23:53:23Z cycle_id=61 rows={'prices': 0, 'trades': 0, 'orderbook': 0, 'total': 0} leg1_opened=12 leg2_hedged=0 unwind_count=11 pnl_total=-0.0470481291
