event_ts,market_key,action,state_from,state_to,p1_price,p2_price,pnl_estimate,reason_code,simulated_latency_ms,simulated_fill_ratio,simulated_slippage_bps,simulated_cancelled,simulated_hedge_fail,regime,sum_ask,entry_mode,entry_policy_detail
2026-03-26T04:38:17Z,SOL5M_2026-03-26T04:40:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.89,aggressive,"spread_yes=0.020000, spread_no=0.010000, max_spread=0.020000"
2026-03-26T04:38:19Z,SOL5M_2026-03-26T04:40:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.88,aggressive,"depth_yes=1.000000, depth_no=805286.460000, required_depth=1.200000"
2026-03-26T04:38:20Z,SOL5M_2026-03-26T04:40:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.9,aggressive,"spread_yes=0.030000, spread_no=0.010000, max_spread=0.020000"
2026-03-26T04:45:01Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.461,aggressive,"spread_yes=0.030000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:03Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.511,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:04Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.511,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:05Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.551,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:07Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.551,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:08Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.541,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:09Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.531,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:11Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.531,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:12Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.541,aggressive,"spread_yes=0.030000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:13Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.541,aggressive,"spread_yes=0.030000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:15Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.531,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:16Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.541,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:17Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.551,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:19Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.551,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:20Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.571,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:21Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.591,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:23Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.591,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:24Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.581,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:25Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.581,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:27Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.611,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:28Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.661,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:29Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.661,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:31Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.671,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:32Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.671,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:33Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.671,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:34Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.671,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:36Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.671,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:37Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.681,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:38Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.681,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:40Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.681,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:41Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.681,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:42Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.681,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:44Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.681,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:45Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.711,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:47Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.721,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:48Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.721,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:49Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.751,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:51Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_depth,,,,,,HIGH_EDGE,0.751,aggressive,"depth_yes=1.000000, depth_no=367594.770000, required_depth=1.200000"
2026-03-26T04:45:52Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.761,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:53Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.771,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:54Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.771,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
2026-03-26T04:45:56Z,SOL5M_2026-03-26T04:50:00Z,entry_policy,,,,,0.0,blocked_by_spread,,,,,,HIGH_EDGE,0.771,aggressive,"spread_yes=0.020000, spread_no=0.001000, max_spread=0.020000"
