ts_utc,market_key,action,status,reason_code,leg1_side,yes_ask,no_ask,sum_ask,seconds_to_close,leg1_price,leg2_price,unwind_price,order_id_leg1,order_id_leg2,fill_status_leg1,fill_status_leg2,hedge_latency_ms,unwind_triggered,pnl_delta,pnl_total,note
2026-03-26T21:12:10Z,SOL5M_2026-03-26T21:15:00Z,skip_entry,blocked,blocked_unwind_risk,no,0.93,0.09,1.02,170,,,,,,,,,,0.0,0.0,unwind_loss_bps=2222.22 > max_unwind_loss_bps=120.00
2026-03-26T21:12:11Z,SOL5M_2026-03-26T21:15:00Z,skip_entry,blocked,blocked_unwind_risk,no,0.94,0.07,1.01,169,,,,,,,,,,0.0,0.0,unwind_loss_bps=1428.57 > max_unwind_loss_bps=120.00
2026-03-26T21:12:12Z,SOL5M_2026-03-26T21:15:00Z,skip_entry,blocked,blocked_unwind_risk,no,0.94,0.07,1.01,168,,,,,,,,,,0.0,0.0,unwind_loss_bps=1428.57 > max_unwind_loss_bps=120.00
2026-03-26T21:12:13Z,SOL5M_2026-03-26T21:15:00Z,skip_entry,blocked,blocked_unwind_risk,no,0.94,0.07,1.01,167,,,,,,,,,,0.0,0.0,unwind_loss_bps=1428.57 > max_unwind_loss_bps=120.00
2026-03-26T21:12:14Z,SOL5M_2026-03-26T21:15:00Z,skip_entry,blocked,blocked_unwind_risk,no,0.94,0.07,1.01,166,,,,,,,,,,0.0,0.0,unwind_loss_bps=1428.57 > max_unwind_loss_bps=120.00
2026-03-26T21:12:15Z,SOL5M_2026-03-26T21:15:00Z,skip_entry,blocked,blocked_unwind_risk,no,0.94,0.05,0.99,165,,,,,,,,,,0.0,0.0,unwind_loss_bps=2000.00 > max_unwind_loss_bps=120.00
2026-03-26T21:12:16Z,SOL5M_2026-03-26T21:15:00Z,skip_entry,blocked,blocked_unwind_risk,no,0.96,0.05,1.01,164,,,,,,,,,,0.0,0.0,unwind_loss_bps=2000.00 > max_unwind_loss_bps=120.00
2026-03-26T21:12:17Z,SOL5M_2026-03-26T21:15:00Z,skip_entry,blocked,blocked_leg1_price_bounds,no,0.97,0.04,1.01,163,,,,,,,,,,0.0,0.0,"leg1_ask=0.040000 required_range=[0.05,0.95]"
2026-03-26T21:12:18Z,SOL5M_2026-03-26T21:15:00Z,skip_entry,blocked,blocked_leg1_price_bounds,no,0.98,0.03,1.01,162,,,,,,,,,,0.0,0.0,"leg1_ask=0.030000 required_range=[0.05,0.95]"
2026-03-26T21:12:19Z,SOL5M_2026-03-26T21:15:00Z,skip_entry,blocked,blocked_leg1_price_bounds,no,0.98,0.03,1.01,161,,,,,,,,,,0.0,0.0,"leg1_ask=0.030000 required_range=[0.05,0.95]"
