event_ts,market_key,action,state_from,state_to,p1_price,p2_price,pnl_estimate,reason_code,simulated_latency_ms,simulated_fill_ratio,simulated_slippage_bps,simulated_cancelled,simulated_hedge_fail
2026-03-25T00:00:01Z,SOL5M_A,open_leg1,IDLE,LEG1_OPEN,0.4,,0.0,leg1_opened,,,,False,False
2026-03-25T00:00:02Z,SOL5M_A,try_open_leg2,LEG1_OPEN,LEG1_OPEN,0.4,0.62,0.0,below_target_profit,,,,False,False
2026-03-25T00:00:03Z,SOL5M_A,timeout_leg2,LEG1_OPEN,LEG1_OPEN,0.4,0.5,0.0,leg2_not_found_timeout,,,,False,False
2026-03-25T00:00:03Z,SOL5M_A,timeout_leg2,LEG1_OPEN,UNWIND,0.4,0.5,0.0,unwind_on_timeout,,,,False,False
2026-03-25T00:00:03Z,SOL5M_A,close_position,UNWIND,CLOSED,0.4,0.5,-0.025,unwind_on_timeout,,,,False,False
2026-03-25T00:00:04Z,SOL5M_B,open_leg1,IDLE,LEG1_OPEN,0.45,,0.0,leg1_opened,,,,False,False
2026-03-25T00:00:05Z,SOL5M_B,try_open_leg2,LEG1_OPEN,LEG1_OPEN,0.45,0.58,0.0,below_target_profit,,,,False,False
2026-03-25T00:00:05Z,SOL5M_B,unwind_on_loss,LEG1_OPEN,UNWIND,0.45,0.58,0.0,unwind_on_loss_limit,,,,False,False
2026-03-25T00:00:05Z,SOL5M_B,close_position,UNWIND,CLOSED,0.45,0.58,-0.0222222222,unwind_on_loss_limit,,,,False,False
2026-03-25T00:00:06Z,SOL5M_C,open_leg1,IDLE,LEG1_OPEN,0.4,,0.0,leg1_opened,,,,False,False
2026-03-25T00:00:07Z,SOL5M_C,try_open_leg2,LEG1_OPEN,LEG1_OPEN,0.4,0.7,0.0,below_target_profit,,,,False,False
2026-03-25T00:00:08Z,SOL5M_C,timeout_leg2,LEG1_OPEN,LEG1_OPEN,0.4,0.72,0.0,leg2_not_found_timeout,,,,False,False
2026-03-25T00:00:08Z,SOL5M_C,timeout_leg2,LEG1_OPEN,UNWIND,0.4,0.72,0.0,unwind_on_timeout,,,,False,False
2026-03-25T00:00:08Z,SOL5M_C,close_position,UNWIND,CLOSED,0.4,0.72,-0.0,unwind_on_timeout,,,,False,False
