phase,config_id,target_profit_pct,leg2_timeout_ms,max_unwind_loss_bps,entry_cutoff_sec,seeds_count,pnl_per_trade_mean,pnl_per_trade_std,hedge_success_rate_mean,hedge_success_rate_std,hedge_failed_rate_mean,max_drawdown_pct_mean,p99_loss_mean,robustness_score,go_no_go,blockers
refine,tp1.75_t800_uw35.0_cut15,1.75,800,35.0,15,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.15,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade 0.000000 <= 0
refine,tp2.00_t800_uw25.0_cut15,2.0,800,25.0,15,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.15,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade 0.000000 <= 0
refine,tp2.25_t800_uw15.0_cut15,2.25,800,15.0,15,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.15,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade 0.000000 <= 0
coarse,tp2.00_t1000_uw25.0_cut30,2.0,1000,25.0,30,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp2.00_t1200_uw40.0_cut45,2.0,1200,40.0,45,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp2.00_t1400_uw50.0_cut60,2.0,1400,50.0,60,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp2.00_t1600_uw60.0_cut75,2.0,1600,60.0,75,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp2.50_t1000_uw25.0_cut30,2.5,1000,25.0,30,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp2.50_t1200_uw40.0_cut45,2.5,1200,40.0,45,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp2.50_t1400_uw50.0_cut60,2.5,1400,50.0,60,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp2.50_t1600_uw60.0_cut75,2.5,1600,60.0,75,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp3.00_t1000_uw25.0_cut30,3.0,1000,25.0,30,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp3.00_t1200_uw40.0_cut45,3.0,1200,40.0,45,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp3.00_t1400_uw50.0_cut60,3.0,1400,50.0,60,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp3.00_t1600_uw60.0_cut75,3.0,1600,60.0,75,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp3.50_t1000_uw25.0_cut30,3.5,1000,25.0,30,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
coarse,tp3.50_t1200_uw40.0_cut45,3.5,1200,40.0,45,3,-0.0157407407,0.0,0.0,0.0,1.0,4.72222222,0.0249444444,-0.1627259259,NO_GO,hedge_failed_rate 1.000000 > 0.020000|pnl_per_trade -0.015741 <= 0
